id,season_type,two_way_winner,over_under_result,home_line_margin,over_under,home_fatigue,away_fatigue
280429003,3,home,,,,2,2
280429008,3,home,,,,3,3
280429010,3,home,,,,2,2
280429024,3,home,,,,2,2
280430005,3,away,,,,2,2
280430002,3,home,,,,2,2
280501020,3,away,,,,2,2
280502027,3,away,,,,2,2
280502001,3,home,,,,3,3
280502026,3,home,,,,2,2
280503008,3,home,,,,3,1
280503003,3,home,,,,2,1
280504013,3,home,,,,1,2
280504002,3,home,,,,3,3
280505008,3,home,,,,3,1
280505003,3,home,,,,1,2
280506002,3,home,,,,3,1
280507013,3,home,,,,1,2
280507019,3,home,,,,2,3
280508002,3,home,,,,3,2
280508024,3,home,,,,2,2
280509026,3,home,,,,3,2
280510019,3,away,,,,2,2
280510005,3,home,,,,2,2
280511026,3,home,,,,2,2
280511024,3,home,,,,2,2
280512005,3,home,,,,3,3
280513008,3,home,,,,2,2
280513003,3,home,,,,2,2
280514013,3,home,,,,2,2
280514002,3,home,,,,2,2
280515024,3,home,,,,2,2
280516005,3,home,,,,3,3
280516026,3,away,,,,2,2
280518002,3,home,,,,3,3
280519003,3,away,,,,2,2
280520002,3,home,,,,3,0
280521013,3,home,,,,1,2
280522002,3,away,,,,3,1
280523013,3,home,,,,2,2
280524008,3,away,,,,2,2
280525024,3,home,,,,3,2
280526008,3,home,,,,3,3
280527024,3,away,,,,2,2
280528002,3,home,,,,3,3
280529013,3,home,,,,3,3
280530008,3,away,,,,3,3
280605002,3,home,,,,1,0
280608002,3,home,,,,1,1
280610013,3,home,,,,2,2
280612013,3,away,,,,3,3
280615013,3,home,,,,3,3
280617002,3,home,,,,2,2
281005014,1,away,,,,0,0
281005003,1,home,,,,0,0
281006019,1,away,,,,0,0
281006015,1,away,,,,0,0
281007005,1,away,,,,0,0
281007006,1,home,,,,0,0
281007010,1,home,,,,0,0
281007013,1,away,,,,0,0
281007022,1,home,,,,0,0
281008011,1,away,,,,0,1
281008019,1,home,,,,1,0
281008020,1,home,,,,0,0
281008028,1,home,,,,1,0
281008008,1,home,,,,1,1
281008029,1,away,,,,1,1
281008016,1,home,,,,1,0
281008021,1,away,,,,0,1
281008022,1,away,,,,1,1
281009014,1,away,,,,1,0
281009004,1,away,,,,0,1
281009010,1,home,,,,1,0
281009026,1,away,,,,1,1
281009013,1,away,,,,1,0
281010011,1,home,,,,1,0
281010019,1,home,,,,2,0
281010020,1,away,,,,1,1
281010027,1,away,,,,2,2
281010002,1,home,,,,1,1
281010022,1,home,,,,2,2
281010029,1,home,,,,2,1
281010015,1,away,,,,2,2
281010024,1,away,,,,1,2
281010007,1,home,,,,0,2
281010023,1,home,,,,1,1
281011002,1,home,,,,2,2
281011015,1,away,,,,3,2
281011021,1,away,,,,2,1
281011009,1,home,,,,1,2
281012028,1,away,,,,2,2
281012017,1,home,,,,1,1
281012022,1,away,,,,3,2
281012013,1,home,,,,2,2
281013001,1,home,,,,2,2
281013029,1,home,,,,3,2
281013010,1,away,,,,3,3
281014003,1,home,,,,2,3
281014008,1,away,,,,3,2
281014028,1,home,,,,2,1
281014005,1,away,,,,1,3
281014018,1,away,,,,2,3
281014025,1,away,,,,4,1
281014004,1,away,,,,2,2
281015009,1,home,,,,2,2
281015001,1,away,,,,3,3
281015011,1,home,,,,2,2
281015029,1,away,,,,2,3
281015007,1,home,,,,2,2
281015023,1,away,,,,2,2
281016030,1,away,,,,2,1
281016005,1,away,,,,2,3
