id,home_total_w_i,home_home_w_i,away_total_l_i,away_away_l_i,away_total_w_i,away_away_w_i,home_total_l_i,home_home_l_i,home_away_w_i,home_away_l_i,away_home_w_i,away_home_l_i
400578929,27.0,12.0,16.0,10.0,27.0,12.0,16.0,10.0,15.0,6.0,15.0,6.0
400578930,21.0,9.0,28.0,16.0,14.0,7.0,20.0,9.0,12.0,11.0,7.0,12.0
400578931,31.0,19.0,26.0,13.0,13.0,4.0,12.0,4.0,12.0,8.0,9.0,13.0
400578932,28.0,18.0,24.0,10.0,18.0,10.0,14.0,7.0,10.0,7.0,8.0,14.0
400578933,8.0,3.0,15.0,8.0,27.0,11.0,34.0,17.0,5.0,17.0,16.0,7.0
400578934,35.0,18.0,20.0,13.0,22.0,10.0,8.0,3.0,17.0,5.0,12.0,7.0
400578935,23.0,13.0,25.0,12.0,18.0,7.0,20.0,9.0,10.0,11.0,11.0,13.0
400578936,18.0,7.0,29.0,18.0,15.0,7.0,24.0,13.0,11.0,11.0,8.0,11.0
400578937,7.0,4.0,30.0,16.0,15.0,10.0,36.0,17.0,3.0,19.0,5.0,14.0
400578938,30.0,14.0,16.0,6.0,28.0,15.0,13.0,6.0,16.0,7.0,13.0,10.0
400578939,7.0,3.0,21.0,16.0,21.0,8.0,34.0,17.0,4.0,17.0,13.0,5.0
400578940,27.0,15.0,31.0,16.0,12.0,6.0,17.0,6.0,12.0,11.0,6.0,15.0
400578941,18.0,12.0,26.0,13.0,14.0,5.0,24.0,10.0,6.0,14.0,9.0,13.0
400578942,26.0,13.0,14.0,7.0,29.0,14.0,18.0,7.0,13.0,11.0,15.0,7.0
400578943,34.0,19.0,26.0,11.0,16.0,6.0,6.0,1.0,15.0,5.0,10.0,15.0
400578944,18.0,11.0,36.0,19.0,8.0,3.0,26.0,13.0,7.0,13.0,5.0,17.0
400578945,21.0,9.0,26.0,11.0,17.0,10.0,21.0,10.0,12.0,11.0,7.0,15.0
400578946,30.0,17.0,35.0,17.0,8.0,5.0,12.0,5.0,13.0,7.0,3.0,18.0
400578947,15.0,7.0,25.0,11.0,18.0,10.0,28.0,12.0,8.0,16.0,8.0,14.0
400578948,31.0,19.0,14.0,8.0,29.0,11.0,13.0,5.0,12.0,8.0,18.0,6.0
400578949,29.0,13.0,24.0,11.0,19.0,11.0,16.0,10.0,16.0,6.0,8.0,13.0
400578950,24.0,14.0,21.0,14.0,22.0,10.0,20.0,9.0,10.0,11.0,12.0,7.0
400578951,26.0,13.0,14.0,7.0,29.0,10.0,19.0,8.0,13.0,11.0,19.0,7.0
400578952,22.0,13.0,14.0,7.0,30.0,16.0,21.0,5.0,9.0,16.0,14.0,7.0
400578953,36.0,19.0,35.0,17.0,7.0,4.0,8.0,3.0,17.0,5.0,3.0,18.0
400578954,15.0,5.0,30.0,19.0,15.0,7.0,31.0,14.0,10.0,17.0,8.0,11.0
400578955,28.0,16.0,21.0,11.0,22.0,12.0,17.0,6.0,12.0,11.0,10.0,10.0
400578956,28.0,16.0,27.0,12.0,17.0,10.0,15.0,7.0,12.0,8.0,7.0,15.0
400578957,35.0,20.0,26.0,13.0,15.0,6.0,6.0,1.0,15.0,5.0,9.0,13.0
400578958,18.0,12.0,15.0,9.0,29.0,11.0,25.0,11.0,6.0,14.0,18.0,6.0
400578959,12.0,6.0,14.0,7.0,30.0,15.0,32.0,15.0,6.0,17.0,15.0,7.0
400578962,31.0,18.0,32.0,17.0,15.0,10.0,12.0,5.0,13.0,7.0,5.0,15.0
400578963,23.0,14.0,36.0,18.0,8.0,5.0,21.0,5.0,9.0,16.0,3.0,18.0
400578964,22.0,12.0,36.0,18.0,7.0,4.0,22.0,7.0,10.0,15.0,3.0,18.0
400578965,16.0,8.0,27.0,14.0,15.0,6.0,28.0,12.0,8.0,16.0,9.0,13.0
400578966,30.0,19.0,26.0,14.0,18.0,6.0,14.0,7.0,11.0,7.0,12.0,12.0
400578967,16.0,8.0,15.0,8.0,29.0,12.0,30.0,11.0,8.0,19.0,17.0,7.0
400578968,17.0,7.0,20.0,11.0,25.0,10.0,28.0,15.0,10.0,13.0,15.0,9.0
400578969,20.0,8.0,22.0,12.0,22.0,12.0,24.0,13.0,12.0,11.0,10.0,10.0
400578970,30.0,14.0,12.0,7.0,32.0,13.0,15.0,7.0,16.0,8.0,19.0,5.0
400578971,36.0,21.0,17.0,6.0,29.0,16.0,6.0,1.0,15.0,5.0,13.0,11.0
