id,season_type,two_way_winner,over_under_result,home_line_margin,over_under,home_matchup_result
310413030,2,home,,,,-1
310413009,2,home,,,,1
310413012,2,home,,,,-1
310413021,2,home,,,,-3
310413023,2,away,,,,-1
310416004,3,home,,,,0
310416014,3,home,,,,0
310416019,3,away,,,,0
310416006,3,home,,,,0
310417024,3,away,,,,0
310417013,3,away,,,,0
310417002,3,home,,,,0
310417025,3,home,,,,0
310418014,3,home,,,,1
310418004,3,home,,,,1
310419002,3,home,,,,1
310419019,3,home,,,,-1
310419006,3,home,,,,1
310420025,3,home,,,,1
310420024,3,home,,,,-1
310420013,3,home,,,,-1
310421011,3,away,,,,-2
310421020,3,away,,,,-2
310421022,3,home,,,,-2
310422018,3,away,,,,-2
310422001,3,home,,,,0
310422003,3,away,,,,0
310423011,3,home,,,,-3
310423022,3,home,,,,-1
310423029,3,home,,,,0
310423007,3,away,,,,-2
310424020,3,home,,,,-3
310424018,3,away,,,,-3
310424001,3,home,,,,1
310424003,3,home,,,,-1
310425029,3,home,,,,1
310425006,3,home,,,,0
310425007,3,home,,,,-3
310426019,3,home,,,,-2
310426004,3,home,,,,2
310426013,3,home,,,,0
310427014,3,home,,,,2
310427024,3,home,,,,-2
310427025,3,home,,,,2
310428001,3,home,,,,1
310428003,3,away,,,,-1
310428022,3,away,,,,-1
310429029,3,home,,,,1
310501025,3,away,,,,0
310501014,3,home,,,,0
310502004,3,away,,,,0
310502013,3,away,,,,0
310503014,3,home,,,,1
310503025,3,home,,,,-1
310504004,3,home,,,,-1
310504013,3,away,,,,-1
310506001,3,away,,,,0
310506006,3,home,,,,2
310507029,3,home,,,,0
310507002,3,home,,,,-2
310508006,3,home,,,,3
310508001,3,home,,,,-1
310509002,3,away,,,,-1
310509029,3,away,,,,1
310510004,3,home,,,,0
310511014,3,home,,,,2
310511025,3,home,,,,0
310512001,3,away,,,,-1
310513029,3,home,,,,-1
310515025,3,home,,,,0
310515004,3,home,,,,0
310517006,3,home,,,,0
310518004,3,away,,,,1
310519006,3,away,,,,1
310521025,3,away,,,,0
310522014,3,home,,,,0
310523025,3,away,,,,-1
310524014,3,home,,,,1
310525006,3,home,,,,2
310526004,3,away,,,,-2
310531014,3,home,,,,0
310602014,3,away,,,,1
310605006,3,away,,,,0
310607006,3,home,,,,-1
310609006,3,home,,,,0
310612014,3,away,,,,-1
311216011,1,away,,,,0
311216027,1,away,,,,0
311216008,1,away,,,,0
311216029,1,away,,,,0
311217017,1,away,,,,0
311217010,1,home,,,,0
311217016,1,home,,,,0
311217009,1,home,,,,0
311218028,1,away,,,,0
311218014,1,home,,,,0
311218006,1,away,,,,0
311219030,1,home,,,,0
311219022,1,home,,,,0
311219013,1,away,,,,0
311220005,1,away,,,,1
311220020,1,home,,,,1
311220004,1,home,,,,1
311220025,1,home,,,,1
311220007,1,home,,,,0
311220023,1,home,,,,-1
311221019,1,home,,,,-1
311221002,1,home,,,,1
311221018,1,home,,,,1
311221003,1,home,,,,1
311221015,1,away,,,,-1
311221024,1,home,,,,-1
311221026,1,home,,,,-1
311221012,1,home,,,,1
311222001,1,home,,,,-1
311222021,1,away,,,,-1
311225018,2,home,,,,0
311225006,2,away,,,,0
311225013,2,away,,,,0
311225025,2,home,,,,0
311225009,2,away,,,,0
311226005,2,away,,,,0
311226011,2,home,,,,0
311226019,2,home,,,,0
311226027,2,away,,,,0
311226030,2,home,,,,0
311226016,2,away,,,,0
311226006,2,away,,,,0
311226024,2,home,,,,0
311226021,2,away,,,,0
311226022,2,home,,,,0
311226023,2,home,,,,0
311226009,2,home,,,,0
311227017,2,away,,,,0
311227014,2,home,,,,0
311227015,2,home,,,,0
311227022,2,home,,,,0
311227013,2,home,,,,0
311228028,2,away,,,,0
311228030,2,away,,,,0
311228001,2,home,,,,0
311228008,2,away,,,,0
311228003,2,home,,,,0
311228029,2,away,,,,0
311228024,2,home,,,,0
311228007,2,home,,,,0
311228021,2,away,,,,0
311228009,2,home,,,,0
311229019,2,home,,,,0
311229010,2,home,,,,0
311229025,2,home,,,,0
311229022,2,home,,,,0
311229023,2,away,,,,0
311229013,2,home,,,,0
311230011,2,home,,,,0
311230030,2,away,,,,0
311230001,2,home,,,,1
311230002,2,home,,,,0
311230003,2,away,,,,1
311230016,2,away,,,,0
311230029,2,home,,,,0
311230006,2,home,,,,0
311230015,2,home,,,,0
311230026,2,home,,,,0
311230012,2,away,,,,0
311231013,2,home,,,,0
311231008,2,home,,,,-1
311231010,2,home,,,,0
311231023,2,away,,,,0
311231025,2,home,,,,0
311231024,2,home,,,,0
311231009,2,away,,,,0
