id,season_type,two_way_winner,over_under_result,home_line_margin,over_under,away_total,away_total_lastN,away_away,away_away_lastN,home_total,home_total_lastN,home_home,home_home_lastN
270124026,2,away,,,,-2.79523809524,-3.69471624266,,,3.91033466018,3.7619047619,,
270124028,2,home,,,,1.45196007696,2.33333333333,,,0.770370370371,0.73385518591,0.206293706294,0.845238095238
270124030,2,away,,,,0.954589303996,1.08333333333,1.07142857142,-0.22619047619,-2.47748126711,-1.5,-5.26068376069,-5.4880952381
270124002,2,away,,,,-3.08249721293,1.08333333333,-1.39063958916,-0.928571428571,-5.50626569831,-10.8333333333,-9.1507936508,-11.6666666667
270124009,2,home,,,,2.10448991191,0.5,3.59696969698,4.2380952381,-2.92453603515,-2.33333333333,-3.5260989011,-3.64166666667
270124018,2,away,,,,5.37383689108,9.52380952381,19.5833333333,56.0,-1.34260651629,-0.428571428571,,
270124024,2,away,,,,0.370678678066,-1.48467058056,6.43464052287,5.2130952381,0.176049161563,-0.0833333333333,0.0142857142838,1.0
270125004,2,home,,,,6.84074609601,13.4444444444,14.0,11.6666666667,2.28608391608,0.333333333333,0.0702380952334,-3.13888888889
270125012,2,home,,,,-0.28250699212,-3.33333333333,-0.686363636369,-0.190476190476,0.320443566091,0.166666666667,,
270126003,2,home,,,,0.29439393939,1.8686440678,-3.88595848596,-4.79064039409,-1.07661135161,-2.09523809524,-3.56287878788,-0.904761904762
270126019,2,away,,,,-3.15392578436,0.95197740113,-0.4989729225,-0.123973727422,-2.0866269953,-1.87328767123,-1.13838383839,0.794117647059
270126020,2,away,,,,-5.00331890332,-9.0,0.742857142859,-0.0952380952381,-0.790202167828,-0.666666666667,-0.786213786212,-0.321428571429
270126024,2,home,,,,0.054761904765,-1.19471624266,,,0.345572971088,0.25,-0.502380952383,0.583333333333
270126026,2,home,,,,4.8147545582,5.35714285714,,,1.51033466018,2.09523809524,-10.1439393939,-40.5
270126028,2,home,,,,-6.80626569832,-10.8333333333,-2.3157051282,-3.11111111111,1.7037037037,1.52380952381,0.0348651348651,-0.543650793651
270126010,2,home,,,,2.14891774892,1.12671232877,,,1.61587098576,0.420091324201,1.17673992674,0.571895424837
270126013,2,away,,,,-1.92313344102,-1.0,2.26363636363,3.42857142857,2.22503987241,1.30528375734,6.10238095238,7.09523809524
270126015,2,away,,,,5.7834920635,10.0952380952,13.4166666667,49.3333333333,-6.54465709729,-10.6666666667,,
270126018,2,home,,,,-2.2336940837,-3.62328767123,4.328342246,1.08333333333,-2.28503075871,-1.21852576647,-4.28524743231,-3.18207282913
270126025,2,home,,,,-4.92574269851,-7.2899543379,0.650649350648,0.126984126984,2.5939060939,3.42857142857,0.176984126984,-0.666666666667
270126008,2,away,,,,4.12453722748,3.12671232877,,,0.971311712023,1.83333333333,-5.17402597403,-5.07142857143
270127001,2,away,,,,1.79313116551,0.166666666667,-1.74603174602,0.142857142857,-3.25392578436,-2.3813559322,-2.2512987013,-8.7380952381
270127003,2,home,,,,1.40445230724,3.16666666667,5.44761904761,4.29365079365,-1.71248091683,-2.66666666667,-1.77121212121,1.02380952381
270127007,2,away,,,,-1.83250699212,-5.0,-0.60757575758,-0.428571428571,3.62686635945,3.92857142857,-0.0555555555549,-0.222222222222
270127011,2,home,,,,1.74712643678,1.21388216303,,,-1.69682115271,-1.83333333333,-0.464285714285,-0.845238095238
270127029,2,away,,,,2.53353313354,2.79337899543,0.00141402715204,-0.650793650794,-0.126190476188,-1.5,-1.31259968102,-0.77731092437
270127004,2,home,,,,-4.78924963926,-5.62328767123,0.695008912668,-1.91666666667,4.20653846153,6.94444444444,5.52023809524,5.71825396825
270127006,2,home,,,,-0.101439393942,1.3686440678,-3.31452991453,-3.45730706076,5.19907942934,11.4444444444,3.85858585859,4.61111111111
270127009,2,home,,,,1.05333714721,1.16666666667,7.51363636364,13.4285714286,-0.705488416101,1.5,-3.17544955045,-3.0
270127012,2,away,,,,-4.63407603185,-7.2899543379,-0.819047619048,-1.20634920635,1.82044356609,1.91666666667,0.0801012712762,0.373015873016
270128013,2,away,,,,1.20932297109,1.10714285714,2.48988095238,1.56650246305,-0.598268398269,-0.694716242661,2.76904761904,4.59523809524
270128005,2,away,,,,4.67777777778,6.21388216303,12.7023809524,49.3333333333,-2.96998556999,-4.33333333333,,
270128015,2,home,,,,-0.697039040288,0.948140900196,2.41904761905,3.48412698413,-6.00722394221,-9.7899543379,,
270128002,2,away,,,,3.77838338133,3.12671232877,1.26266788767,-0.690476190476,-5.76297565503,-7.2619047619,-9.4007936508,-11.6666666667
270128008,2,home,,,,0.55317884729,1.5,-0.995454545452,-0.349206349206,1.10508364185,1.59523809524,-3.03116883117,-2.07142857143
270128025,2,away,,,,1.8315546772,1.08333333333,-0.0222222222247,-2.15476190476,4.90342990343,5.59523809524,2.45903540903,2.33333333333
270129001,2,home,,,,-2.37234128101,-0.5399543379,2.47916666665,0.876984126984,-3.55520783564,-2.8813559322,-5.83463203463,-11.5
270129003,2,home,,,,1.22400932401,0.888617090672,-0.633201357467,-0.650793650794,0.702333897987,-0.666666666667,3.86212121212,4.35714285714
270129007,2,away,,,,-0.66188024409,-1.83333333333,5.21363636364,10.6666666667,0.943533026115,1.7619047619,-2.49603174603,-2.38888888889
270129016,2,home,,,,5.4,6.45197740113,15.119047619,51.0,-2.87217126994,-3.45662100457,-5.02171717172,-4.7380952381
270129026,2,away,,,,-1.34941520468,-4.5,0.00909090908776,-0.0952380952381,-0.970897832817,0.666666666667,-9.0487012987,-39.9285714286
270129029,2,home,,,,-0.838582251083,0.868644067797,-2.25020242915,-3.05373563218,-1.92777777778,-3.42857142857,-2.85805422648,-1.27731092437
270129010,2,home,,,,1.47005424244,0.166666666667,-0.554112554101,1.0,1.5990288805,0.753424657534,1.40750915751,1.12745098039
270130005,2,home,,,,-0.999932860543,1.5,-1.66965811966,-2.19444444444,-2.25411255412,-2.12328767123,-1.64583333334,-5.44397759104
270130011,2,home,,,,-4.8715470836,-3.92857142857,-3.52083333333,-4.44444444444,1.0213161022,2.0,-0.347619047617,0.404761904762
